coordsystype,point_name,measurement_id,measMode,date,time,val1,val2,val3,std1,std2,std3,stdTotal
7,test,1,0,2025-09-16,15:09:21.969,-2.705621041539435,1.8545497398663642,3238.9487634438624,1.4087639062200432e-06,1.1020093832467268e-06,0.0003527668412103339,0.005487892824724724
7,test,1,0,2025-09-16,15:10:07.478,-2.7054793162784962,1.8544822195556403,3239.042537536163,1.9980264575723943e-06,8.963784113187213e-07,0.001091380369314473,0.0068513808608478294
7,test,1,0,2025-09-16,15:11:05.228,-2.7055932633197246,1.854529338811433,3238.9580940415767,8.004042560869263e-07,9.18009393652934e-07,0.00035276684112641105,0.0037170352579222452
7,test,1,0,2025-09-16,15:11:33.669,-2.70562560485706,1.854527315661517,3238.9006094227357,1.024022838038469e-06,9.563631035020664e-07,0.0006359594679839059,0.004322009531472944
7,A,1,0,2025-09-16,15:19:00.198,-2.869564404820884,1.4346049513229202,4395.951078544289,1.3093471699088365e-06,2.392156474138876e-06,0.00054569018477554,0.011799670930025374
7,A,2,0,2025-09-16,15:19:14.656,-2.8695664648650627,1.4346056657732804,4395.951378459938,6.719956109375779e-07,1.2655025993820385e-06,0.0006960204338374997,0.006231529674901795
7,A,3,0,2025-09-16,15:19:27.285,-2.8695651188705664,1.4346058001850204,4395.951211837163,1.3153826752287456e-06,1.340562951141327e-06,0.0010913803694003737,0.008211577472627104
7,A,5,0,2025-09-16,15:19:56.040,-2.8695666016372936,1.4346060487728933,4395.951711701842,5.620027819270432e-07,4.6861359290161153e-07,0.0004055175021349699,0.003199876807624086
7,B,2,0,2025-09-16,15:23:26.781,-2.994275655093234,1.5698373002168422,4361.476799941785,4.975226269379836e-07,5.308151638971861e-07,0.0003055050471386669,0.0031877568330061306
7,B,3,0,2025-09-16,15:23:41.199,-2.9942764995476896,1.569837378100956,4361.477033212614,5.096645538635277e-07,3.3989287927129587e-06,0.00046666666698848123,0.014997331023714446
7,B,4,0,2025-09-16,15:23:53.570,-2.994275520191737,1.5698369955180782,4361.477199834653,4.203351019743511e-07,2.9053311856141225e-07,0.0004000000001348603,0.0022641984740974785
7,B,5,0,2025-09-16,15:24:06.273,-2.994275848596798,1.56983653800796,4361.47726648348,1.103218454935139e-06,1.0190681954506326e-06,0.00024037008567079224,0.006554743374516863
7,D,1,0,2025-09-16,15:24:40.232,-2.840642575025539,1.6159582617104875,4361.286159666024,1.2885379750001546e-06,9.430208582830695e-07,0.0003711842912360098,0.0069639708377804335
7,D,2,0,2025-09-16,15:24:54.778,-2.840643613821415,1.6159589499364104,4361.287859211944,1.010292608678867e-06,1.2230778850074297e-06,0.0001763834201319242,0.0069092595571459275
7,D,3,0,2025-09-16,15:25:06.302,-2.8406433384073493,1.6159585856217957,4361.286692857101,8.679671484266311e-07,4.679227866522347e-07,0.0005291502622794216,0.004327502847642939
7,D,4,0,2025-09-16,15:25:18.644,-2.840642012791842,1.6159610602505778,4361.2874259986065,1.3203569717750783e-06,3.2741520220546173e-06,0.00040551750188755407,0.01537169789791835
7,D,5,0,2025-09-16,15:25:31.802,-2.840643570497248,1.6159615154874132,4361.28769259469,5.974397092094504e-07,1.929098828231966e-06,0.000529150262167522,0.008805515229402658
7,D,1,21,2025-09-16,15:42:54.528,-2.840641888291586,1.61595919567592,4361.292710118244,1.2963434842806927e-06,1.4175883633351218e-06,0.0006565905202075095,0.008389916353178187
7,D,2,21,2025-09-16,15:43:04.114,-2.8406408712552116,1.6159584861337004,4361.291243843358,6.026235685857477e-07,1.2874379314149682e-06,0.0004055175018875545,0.006200810976452913
7,D,3,21,2025-09-16,15:43:13.716,-2.8406410775126485,1.6159600453483436,4361.292210253834,1.3335367397910214e-06,7.810862545765738e-07,0.0001763834204676235,0.006733667297443941
7,D,4,21,2025-09-16,15:43:24.724,-2.840641198851321,1.6159600051603098,4361.292810092948,2.2359241350518634e-06,1.714283266168014e-06,0.0009404490652410379,0.012306160211240352
7,D,5,21,2025-09-16,15:43:35.146,-2.840641758312321,1.615959878885128,4361.292610146316,9.335231253909551e-07,1.744161280165895e-06,0.0004807401699867349,0.008624919060120721
7,D,1,0,2025-09-16,15:44:45.391,-2.840642483458492,1.6159606203752603,4361.291940619005,9.94498782147091e-07,6.080643233924333e-07,0.00024037008471965957,0.005082748568046619
7,D,2,0,2025-09-16,15:44:54.988,-2.8406423906569414,1.6159600994146777,4361.291773995956,7.304133966233748e-07,9.252478369531018e-07,0.00035276684153204795,0.005144440029586457
7,D,3,0,2025-09-16,15:45:04.507,-2.840642638321843,1.6159605984850778,4361.291740672469,6.060203616823733e-07,1.6098938871687315e-06,0.00024037008554762416,0.007491046269217399
7,D,4,0,2025-09-16,15:45:15.418,-2.8406423333994044,1.6159605409652245,4361.291040859624,6.882878605668649e-07,9.142215478916382e-07,0.00017638342030909857,0.004985312582698189
7,D,5,0,2025-09-16,15:45:25.723,-2.840641031912871,1.6159603680749197,4361.290707615144,4.145389057124016e-07,6.372970055855817e-07,0.0003464101614596379,0.0033277857140447255
7,D,1,0,2025-09-16,19:16:26.708,-2.840644363323489,1.6159610481069548,4361.315653698381,5.345366070467679e-07,8.524035281653011e-07,0.00013333333304110757,0.004382124733376707
7,D,1,0,2025-09-16,19:34:47.332,-2.840647185902934,1.615958044320649,4361.32861688913,1.616336398542924e-06,1.2892235737191722e-06,0.00029059326299313965,0.009008700562739289
